token;frequency
c#m;4045
c#m/b;14
c#m/g#;33
c#m5;1
c#m7;683
c#m7/b;11
c#m7/e;4
c#m711;3
c#m75;1
c#m7b5;32
c#m9;3
c#madd11;1
c#maj7;7
c#maj7/c;1
c#mhold;1
c#sus;2
c#sus2;15
c#sus4;6
c/a;34
c/a#;2
c/b;613
c/bb;4
c/d;156
c/d#;4
c/e;765
c/e5th;3
c/f;41
c/g;930
c/g#;3
c0;4
c11sus2;1
c13;17
c2;202
c3/e;5
c4;1
c5;333
c5/g;24
c6;55
c6/9;23
c6add9;13
c7;768
c7#9;1
c7/e;2
c7/g;14
c79;1
c7b13;4
c7b9;17
c7c7;1
c7sus;1
c7sus2;2
c7sus4;11
c9;193
c9b5;3
c9sus4;9
c9sus4/g;3
c\;1
cadd#11;4
cadd11;3
cadd2;50
cadd4;26
cadd9;4370
cadd9/b;4
cadd9/f#;1
cadd9/g;16
caddd;31
can;1
capella;1
capo;3
cappella;2
caug;13
cb;6
cbreak;1
cc;11
cc7;2
cd;1
cdim;43
cdim/e;6
cdim/gb;1
cdim7;6
ce7am;1
celebration;1
chair;1
change;2
chold;1
chord;14
chords;6
clearly;2
cm;1212
cm/ab;2
cm/bb;7
cm/d;1
cm/eb;15
cm/f;2
cm/g;37
cm6;8
cm6/d;4
cm6/eb;7
cm6/f;2
cm6/g;1
cm7;367
cm7/b;1
cm7/bb;1
cm7/d#;11
cm7/eb;1
cm7/g;11
cm7add4;3
cm7pause;1
cm9;11
cmaj;3
cmaj7;1511
cmaj7/b;1
cmaj7/e;57
cmaj7/g;42
cmaj7/g#;7
cmaj9;38
cmaj9/b;4
cmmaj7;7
contradiction;1
copyright;1
creole;1
csus;30
csus2;235
csus2/b;10
csus2/bb;2
csus4;112
csus4/f;12
cue;1
c­;1
c…;1
d;41812
d#;142
d#/a#;6
d#/b;1
d#5;20
d#5/a#;2
d#7;20
d#7/b;4
d#aug;5
d#b5;4
d#dim;13
d#dim7;9
d#m;251
d#m/a#;3
d#m7;48
d#m75;3
d#m7b5;18
d#maj7;10
d's;1
d/a;293
d/b;49
d/bb;16
d/c;106
d/c#;109
d/d;6
d/dm;1
d/e;139
d/f#;3047
d/f#no3;5
d/g;57
d/g6;12
d13;5
d2;28
d3;6
d4;22
d4/f#;3
d5;341
d5/a;14
d5/b;6
d5/c;12
d5/f#;2
d5/g;23
d6;177
d6/9;26
d6/c#;13
d6/f#;4
d6add7;2
d6add9;3
d6add9/a;24
d6sus2;7
d7;1811
d7#5;1
d7#9;8
d7/a;22
d7/c;4
d7/f#;72
d710;2
d79;2
d7b13;2
d7b9;37
d7b9/eb;1
d7sus2;16
d7sus4;97
d7sus4/g;1
d9;153
d9/b;3
d9/f#;25
d9sus4;5
d?;1
da;6
dada;21
dadd11;114
dadd11/f#;20
dadd2;6
dadd4;42
dadd4/f#;6
dadd4add9;21
dadd9;128
dadd9/a;1
dadd9/f;2
dadd9/f#;21
dadd92;1
daddb6;1
daddc;2
dadde;2
dance;3
daug;18
db;449
db/ab;1
db/bb;1
db/c;1
db/cb;1
db/eb;8
db/f;6
db5;4
db6;11
db7;15
db9;15
dbadd9;12
dbdim;6
dbdim7;3
dbm;4
dbmaj13;1
dbmaj7;39
dbriefly;1
dbsus2;2
ddd;1
ddim;20
ddim/ab;3
ddim/f;2
ddim7;1
ddsus4d;20
ddsus4hammeron;1
de7;1
decision;2
denial;18
df#m9;4
dg;1
dim;1
dm;8104
dm#5;2
dm/a;21
dm/b;14
dm/bb;9
dm/c;73
dm/c#;2
dm/db;6
dm/f;45
dm/g;15
dm/maj;3
dm11;6
dm6;48
dm7;1422
dm7/a;9
dm7/b;7
dm7/c;13
dm7/f;4
dm7/g;16
dm7add11;4
dm7add9;7
dm7b5;30
dm9;47
dm9/f;1
dm9/f#;1
dmadd9;6
dmadd9/a;6
dmadd9/f;6
dmaj13;13
dmaj7;640
dmaj7/f#;20
dmaj7sus2;35
dmaj9;36
dmaj9/f#;12
dmm7;12
dmmaj7;22
dmmaj7/c#;4
dno3;1
donce;1
doodoodoodualtracked;1
doorway;1
downdownupupupdown;1
dsus;217
dsus/f#;12
dsus/g;4
dsus2;1190
dsus2/a;32
dsus2/b;27
dsus2/c#;22
dsus2/f#;42
dsus2/g;38
dsus2asus/db;1
dsus2cadd9asus2;1
dsus4;1609
dsus4/a;1
dsus4/b;1
dsus4/f#;102
dsus4\d\a;1
dumm;2
during;1
d…;1
e;16537
e/a;10
e/ab;3
e/b;38
e/bb;2
e/c;9
e/c#;4
e/d;32
e/d#;16
e/esus4;4
e/f#;17
e/g;10
e/g#;385
e0;3
e1;1
e11;22
e13;7
e2;2
e3;1
e3221;1
e4;9
e5;480
e5332;1
e5vii;2
e6;58
e6sus4;2
e7;2050
e7#5;12
e7#9;15
e7/a;11
e7/ab;1
e7/b;17
e7/d;2
e7/g;1
e7/g#;37
e759;2
e7b9;18
e7b9#5;1
e7sus;18
e7sus2;8
e7sus4;83
e7sus4/b;26
e9;34
e9/d;2
e9sus4;7
e\a\d;1
ea;2
eadd9;16
eam;2
eaug;23
eb;1437
eb/ab;4
eb/bb;24
eb/c;5
eb/cb;2
eb/d;16
eb/f;16
eb/g;43
eb0;1
eb5;62
eb5/bb;1
eb5/d;4
eb6;21
eb7;39
eb7b5;2
eb7b9;3
eb7sus4;1
eb9;7
ebadd9/g;3
ebaug;7
ebdim;13
ebdim/g;6
ebdim7;2
ebm;190
ebm/bb;1
ebm/c;1
ebm/gb;2
ebm7;91
ebm7/g;13
ebm7b5;3
ebm9;32
ebmaj;13
ebmaj7;149
ebmm7;2
ebmmaj13;7
ebmmaj7;1
ebsus2;16
ebsus4;26
ebsus4/f;1
ec#m7;4
ed;2
edim;14
edim/bb;1
edim7;6
ee7;3
eee/f#m;1
ehold;1
em;25018
em#5;8
em/a;2
em/b;116
em/c;8
em/c#;19
em/d;58
em/d#;6
em/f;2
em/f#;15
em/g;83
em11;5
em11/a;8
em13/c#;3
em2;1
em4;3
em5;1
em6;42
em7;4000
em7/a;30
em7/b;26
em7/c;7
em7/c#;3
em7/d;43
em7/f#;13
em7/g;14
em75;4
em7b5;4
em7e7sus2;3
em7hold;1
em7vii;4
em8;1
em9;115
em9/g;3
emadd11/a;8
emadd9;93
emadd9/a;4
emaj7;187
emaj9;27
emc;1
emd;6
emem;1
emhold;1
emii;8
emm7;3
emmaj7;6
emmaj9;4
emmute;1
end;10
ends;1
enters;1
esus;42
esus/b;1
esus2;36
esus2/d;10
esus2/eb;2
esus4;322
esus4/b;2
f;24369
f#;2053
f#/a;1
f#/a#;38
f#/c#;21
f#/d;14
f#/d#;4
f#/e;1
f#/g;3
f#/g#;1
f#11;5
f#13;5
f#4;1
f#5;130
f#5/b;30
f#5/d;31
f#7;302
f#7#9;2
f#7/a#;1
f#7/c#;3
f#7/e;18
f#713;2
f#75;4
f#7add11;25
f#7b5;18
f#7sus;3
f#7sus4;6
f#9;15
f#aug;6
f#dim;22
f#dim7;41
f#dim7/a;6
f#dim7/c;3
f#dim7/eb;2
f#m;4997
f#m/a;17
f#m/b;2
f#m/c#;28
f#m/d;5
f#m/e;32
f#m/f;3
f#m11;66
f#m11/c#;2
f#m11/e;19
f#m6;29
f#m7;666
f#m7/a;2
f#m7/e;4
f#m7add11;38
f#m7b5;25
f#m9;16
f#madd6;3
f#madd9;13
f#maj7;12
f#mmaj7;3
f#mmaj7/e#;2
f#note;3
f#sus;6
f#sus4;23
f#sus4/e;2
f/a;218
f/b;3
f/c;203
f/d;17
f/e;80
f/eb;7
f/g;96
f13;6
f2;8
f3;1
f4;20
f5;226
f5/c;2
f6;76
f6/9;7
f6/c;1
f6sus2;10
f7;207
f7#5#9;5
f7/c;1
f7/eb;4
f7b9;1
f7m;8
f7sus;11
f7sus4;9
f9;32
f9sus;1
f9sus4;2
fadd#11;13
fadd2;3
fadd9;157
fadd9#11;2
fadd9/a;21
fade;19
fades;4
fading;4
fast;2
faug;8
fb5;8
fdim;22
fdim/a;3
fdim7;28
ff;2
fig;3
fig1;1
fill2;3
fill3;3
final;1
flower;1
fm;938
fm/ab;12
fm/f;1
fm/g#;1
fm11;11
fm6;57
fm6/ab;2
fm6/d;2
fm7;262
fm7/a;13
fm7/f#;2
fm9;2
fmaj;2
fmaj/e;24
fmaj7;1864
fmaj7#11;15
fmaj7/a;21
fmaj7/c;16
fmaj7sus2/c;1
fmaj9;38
fmmaj9;2
foptional;1
fsus;30
fsus2;212
fsus2/c;1
fsus2/e;23
fsus4;60
ft;1
full;2
fv;4
g;62606
g#;386
g#/a#;9
g#/am;1
g#/b#;12
g#/c;12
g#/d#;1
g#5;14
g#7;103
g#7#5;5
g#7/d#;4
g#7b13;2
g#7sus;3
g#7sus4;3
g#aug;3
g#dim;19
g#dim7;17
g#m;1555
g#m/a#;2
g#m/f#;3
g#m6;16
g#m7;150
g#m7b5;11
g#m7b5/f#;3
g#m9;12
g#madd6;2
g#maj7;4
g#mmaj7;8
g#o;2
g#sus4;19
g/;2
g/a;159
g/b;2194
g/c;68
g/d;319
g/e;32
g/f;83
g/f#;309
g/g#;13
g/mute;1
g0;3
g02002;1
g1;1
g11;39
g13;25
g2;49
g3;4
g4;60
g5;540
g5/b;7
g5/c;8
g5/d;26
g5/e;9
g5/f;12
g5/f#;36
g5f5;1
g6;513
g6/9;2
g6/a;24
g6/b;35
g6/d;2
g6/e;21
g6add11;12
g6add11/b;3
g7;1361
g7#5;1
g7/b;17
g7/d;27
g7/f;11
g75;3
g7aa;1
g7g7;1
g7sus;12
g7sus4;50
g8;3
g9;32
g9sus4;1
g>c;1
ga;4
gadd#11;5
gadd11;128
gadd11/a;4
gadd11/b;1
gadd2;1
gadd4;16
gadd4/b;8
gadd9;140
gadd9/e;2
gadd9bm11;1
gadd9bm7;2
gaug;15
gb;242
gb/ab;3
gb/bb;1
gb5;15
gb7;7
gb7/fb;1
gb9;14
gbadd9;2
gbaug;10
gbdim;2
gbdim7;14
gbm;6
gbm7;5
gbm7/ab;10
gbm7/eb;2
gbm9;1
gbmaj7;21
gd;1
gdim;14
gdim7;12
gently;1
get;1
gg7;1
ggg;1
ghold;1
ghost;1
giii;2
glance;3
gm;1943
gm/bb;13
gm/c;4
gm/d;6
gm/e;1
gm/f;17
gm/f#;2
gm11;3
gm6;67
gm6/bb;11
gm6/c#;3
gm6/d;9
gm7;598
gm7/b;24
gm7/bb;24
gm7/c;9
gm7/f;5
gm7/f#;6
gm7add11;1
gm7b5;1
gm9;45
gma7;4
gmadd11;2
gmaj;9
gmaj13;11
gmaj7;573
gmaj7#11;1
gmaj7/a;6
gmaj7/b;8
gmaj7/d;17
gmaj7/f#;8
gmaj9;1
gmbb;2
gmmaj7;7
goal;1
goes;1
goptional;1
gstop;1
gsus;63
gsus2;197
gsus2/a;9
gsus2/b;1
gsus4;499
gsus4/a;3
gsus4/b;1
gsuscsus;1
gvii;4
g…;1
